pokemon_species_id,gender_id
1,1
1,2
2,1
2,2
3,1
3,2
4,1
4,2
5,1
5,2
6,1
6,2
7,1
7,2
8,1
8,2
9,1
9,2
10,1
10,2
11,1
11,2
12,1
12,2
13,1
13,2
14,1
14,2
15,1
15,2
16,1
16,2
17,1
17,2
18,1
18,2
19,1
19,2
20,1
20,2
21,1
21,2
22,1
22,2
23,1
23,2
24,1
24,2
25,1
25,2
26,1
26,2
27,1
27,2
28,1
28,2
29,1
30,1
31,1
32,2
33,2
34,2
35,1
35,2
36,1
36,2
37,1
37,2
38,1
38,2
39,1
39,2
40,1
40,2
41,1
41,2
42,1
42,2
43,1
43,2
44,1
44,2
45,1
45,2
46,1
46,2
47,1
47,2
48,1
48,2
49,1
49,2
50,1
50,2
51,1
51,2
52,1
52,2
53,1
53,2
54,1
54,2
55,1
55,2
56,1
56,2
57,1
57,2
58,1
58,2
59,1
59,2
60,1
60,2
61,1
61,2
62,1
62,2
63,1
63,2
64,1
64,2
65,1
65,2
66,1
66,2
67,1
67,2
68,1
68,2
69,1
69,2
70,1
70,2
71,1
71,2
72,1
72,2
73,1
73,2
74,1
74,2
75,1
75,2
76,1
76,2
77,1
77,2
78,1
78,2
79,1
79,2
80,1
80,2
81,3
82,3
83,1
83,2
84,1
84,2
85,1
85,2
86,1
86,2
87,1
87,2
88,1
88,2
89,1
89,2
90,1
90,2
91,1
91,2
92,1
92,2
93,1
93,2
94,1
94,2
95,1
95,2
96,1
96,2
97,1
97,2
98,1
98,2
99,1
99,2
100,3
101,3
102,1
102,2
103,1
103,2
104,1
104,2
105,1
105,2
106,2
107,2
108,1
108,2
109,1
109,2
110,1
110,2
111,1
111,2
112,1
112,2
113,1
114,1
114,2
115,1
116,1
116,2
117,1
117,2
118,1
118,2
119,1
119,2
120,3
121,3
122,1
122,2
123,1
123,2
124,1
125,1
125,2
126,1
126,2
127,1
127,2
128,2
129,1
129,2
130,1
130,2
131,1
131,2
132,3
133,1
133,2
134,1
134,2
135,1
135,2
136,1
136,2
137,3
138,1
138,2
139,1
139,2
140,1
140,2
141,1
141,2
142,1
142,2
143,1
143,2
144,3
145,3
146,3
147,1
147,2
148,1
148,2
149,1
149,2
150,3
151,3
152,1
152,2
153,1
153,2
154,1
154,2
155,1
155,2
156,1
156,2
157,1
157,2
158,1
158,2
159,1
159,2
160,1
160,2
161,1
161,2
162,1
162,2
163,1
163,2
164,1
164,2
165,1
165,2
166,1
166,2
167,1
167,2
168,1
168,2
169,1
169,2
170,1
170,2
171,1
171,2
172,1
172,2
173,1
173,2
174,1
174,2
175,1
175,2
176,1
176,2
177,1
177,2
178,1
178,2
179,1
179,2
180,1
180,2
181,1
181,2
182,1
182,2
183,1
183,2
184,1
184,2
185,1
185,2
186,1
186,2
187,1
187,2
188,1
188,2
189,1
189,2
190,1
190,2
191,1
191,2
192,1
192,2
193,1
193,2
194,1
194,2
195,1
195,2
196,1
196,2
197,1
197,2
198,1
198,2
199,1
199,2
200,1
200,2
201,3
202,1
202,2
203,1
203,2
204,1
204,2
205,1
205,2
206,1
206,2
207,1
207,2
208,1
208,2
209,1
209,2
210,1
210,2
211,1
211,2
212,1
212,2
213,1
213,2
214,1
214,2
215,1
215,2
216,1
216,2
217,1
217,2
218,1
218,2
219,1
219,2
220,1
220,2
221,1
221,2
222,1
222,2
223,1
223,2
224,1
224,2
225,1
225,2
226,1
226,2
227,1
227,2
228,1
228,2
229,1
229,2
230,1
230,2
231,1
231,2
232,1
232,2
233,3
234,1
234,2
235,1
235,2
236,2
237,2
238,1
239,1
239,2
240,1
240,2
241,1
242,1
243,3
244,3
245,3
246,1
246,2
247,1
247,2
248,1
248,2
249,3
250,3
251,3
252,1
252,2
253,1
253,2
254,1
254,2
255,1
255,2
256,1
256,2
257,1
257,2
258,1
258,2
259,1
259,2
260,1
260,2
261,1
261,2
262,1
262,2
263,1
263,2
264,1
264,2
265,1
265,2
266,1
266,2
267,1
267,2
268,1
268,2
269,1
269,2
270,1
270,2
271,1
271,2
272,1
272,2
273,1
273,2
274,1
274,2
275,1
275,2
276,1
276,2
277,1
277,2
278,1
278,2
279,1
279,2
280,1
280,2
281,1
281,2
282,1
282,2
283,1
283,2
284,1
284,2
285,1
285,2
286,1
286,2
287,1
287,2
288,1
288,2
289,1
289,2
290,1
290,2
291,1
291,2
292,3
293,1
293,2
294,1
294,2
295,1
295,2
296,1
296,2
297,1
297,2
298,1
298,2
299,1
299,2
300,1
300,2
301,1
301,2
302,1
302,2
303,1
303,2
304,1
304,2
305,1
305,2
306,1
306,2
307,1
307,2
308,1
308,2
309,1
309,2
310,1
310,2
311,1
311,2
312,1
312,2
313,2
314,1
315,1
315,2
316,1
316,2
317,1
317,2
318,1
318,2
319,1
319,2
320,1
320,2
321,1
321,2
322,1
322,2
323,1
323,2
324,1
324,2
325,1
325,2
326,1
326,2
327,1
327,2
328,1
328,2
329,1
329,2
330,1
330,2
331,1
331,2
332,1
332,2
333,1
333,2
334,1
334,2
335,1
335,2
336,1
336,2
337,3
338,3
339,1
339,2
340,1
340,2
341,1
341,2
342,1
342,2
343,3
344,3
345,1
345,2
346,1
346,2
347,1
347,2
348,1
348,2
349,1
349,2
350,1
350,2
351,1
351,2
352,1
352,2
353,1
353,2
354,1
354,2
355,1
355,2
356,1
356,2
357,1
357,2
358,1
358,2
359,1
359,2
360,1
360,2
361,1
361,2
362,1
362,2
363,1
363,2
364,1
364,2
365,1
365,2
366,1
366,2
367,1
367,2
368,1
368,2
369,1
369,2
370,1
370,2
371,1
371,2
372,1
372,2
373,1
373,2
374,3
375,3
376,3
377,3
378,3
379,3
380,1
381,2
382,3
383,3
384,3
385,3
386,3
387,1
387,2
388,1
388,2
389,1
389,2
390,1
390,2
391,1
391,2
392,1
392,2
393,1
393,2
394,1
394,2
395,1
395,2
396,1
396,2
397,1
397,2
398,1
398,2
399,1
399,2
400,1
400,2
401,1
401,2
402,1
402,2
403,1
403,2
404,1
404,2
405,1
405,2
406,1
406,2
407,1
407,2
408,1
408,2
409,1
409,2
410,1
410,2
411,1
411,2
412,1
412,2
413,1
414,2
415,1
415,2
416,1
417,1
417,2
418,1
418,2
419,1
419,2
420,1
420,2
421,1
421,2
422,1
422,2
423,1
423,2
424,1
424,2
425,1
425,2
426,1
426,2
427,1
427,2
428,1
428,2
429,1
429,2
430,1
430,2
431,1
431,2
432,1
432,2
433,1
433,2
434,1
434,2
435,1
435,2
436,3
437,3
438,1
438,2
439,1
439,2
440,1
441,1
441,2
442,1
442,2
443,1
443,2
444,1
444,2
445,1
445,2
446,1
446,2
447,1
447,2
448,1
448,2
449,1
449,2
450,1
450,2
451,1
451,2
452,1
452,2
453,1
453,2
454,1
454,2
455,1
455,2
456,1
456,2
457,1
457,2
458,1
458,2
459,1
459,2
460,1
460,2
461,1
461,2
462,3
463,1
463,2
464,1
464,2
465,1
465,2
466,1
466,2
467,1
467,2
468,1
468,2
469,1
469,2
470,1
470,2
471,1
471,2
472,1
472,2
473,1
473,2
474,3
475,2
476,1
476,2
477,1
477,2
478,1
479,3
480,3
481,3
482,3
483,3
484,3
485,1
485,2
486,3
487,3
488,1
489,3
490,3
491,3
492,3
493,3
494,3
495,1
495,2
496,1
496,2
497,1
497,2
498,1
498,2
499,1
499,2
500,1
500,2
501,1
501,2
502,1
502,2
503,1
503,2
504,1
504,2
505,1
505,2
506,1
506,2
507,1
507,2
508,1
508,2
509,1
509,2
510,1
510,2
511,1
511,2
512,1
512,2
513,1
513,2
514,1
514,2
515,1
515,2
516,1
516,2
517,1
517,2
518,1
518,2
519,1
519,2
520,1
520,2
521,1
521,2
522,1
522,2
523,1
523,2
524,1
524,2
525,1
525,2
526,1
526,2
527,1
527,2
528,1
528,2
529,1
529,2
530,1
530,2
531,1
531,2
532,1
532,2
533,1
533,2
534,1
534,2
535,1
535,2
536,1
536,2
537,1
537,2
538,2
539,2
540,1
540,2
541,1
541,2
542,1
542,2
543,1
543,2
544,1
544,2
545,1
545,2
546,1
546,2
547,1
547,2
548,1
549,1
550,1
550,2
551,1
551,2
552,1
552,2
553,1
553,2
554,1
554,2
555,1
555,2
556,1
556,2
557,1
557,2
558,1
558,2
559,1
559,2
560,1
560,2
561,1
561,2
562,1
562,2
563,1
563,2
564,1
564,2
565,1
565,2
566,1
566,2
567,1
567,2
568,1
568,2
569,1
569,2
570,1
570,2
571,1
571,2
572,1
572,2
573,1
573,2
574,1
574,2
575,1
575,2
576,1
576,2
577,1
577,2
578,1
578,2
579,1
579,2
580,1
580,2
581,1
581,2
582,1
582,2
583,1
583,2
584,1
584,2
585,1
585,2
586,1
586,2
587,1
587,2
588,1
588,2
589,1
589,2
590,1
590,2
591,1
591,2
592,1
592,2
593,1
593,2
594,1
594,2
595,1
595,2
596,1
596,2
597,1
597,2
598,1
598,2
599,3
600,3
601,3
602,1
602,2
603,1
603,2
604,1
604,2
605,1
605,2
606,1
606,2
607,1
607,2
608,1
608,2
609,1
609,2
610,1
610,2
611,1
611,2
612,1
612,2
613,1
613,2
614,1
614,2
615,3
616,1
616,2
617,1
617,2
618,1
618,2
619,1
619,2
620,1
620,2
621,1
621,2
622,3
623,3
624,1
624,2
625,1
625,2
626,1
626,2
627,2
628,2
629,1
630,1
631,1
631,2
632,1
632,2
633,1
633,2
634,1
634,2
635,1
635,2
636,1
636,2
637,1
637,2
638,3
639,3
640,3
641,2
642,2
643,3
644,3
645,2
646,3
647,3
648,3
649,3
650,1
650,2
651,1
651,2
652,1
652,2
653,1
653,2
654,1
654,2
655,1
655,2
656,1
656,2
657,1
657,2
658,1
658,2
659,1
659,2
660,1
660,2
661,1
661,2
662,1
662,2
663,1
663,2
664,1
664,2
665,1
665,2
666,1
666,2
667,1
667,2
668,1
668,2
669,1
670,1
671,1
672,1
672,2
673,1
673,2
674,1
674,2
675,1
675,2
676,1
676,2
677,1
677,2
678,1
678,2
679,1
679,2
680,1
680,2
681,1
681,2
682,1
682,2
683,1
683,2
684,1
684,2
685,1
685,2
686,1
686,2
687,1
687,2
688,1
688,2
689,1
689,2
690,1
690,2
691,1
691,2
692,1
692,2
693,1
693,2
694,1
694,2
695,1
695,2
696,1
696,2
697,1
697,2
698,1
698,2
699,1
699,2
700,1
700,2
701,1
701,2
702,1
702,2
703,3
704,1
704,2
705,1
705,2
706,1
706,2
707,1
707,2
708,1
708,2
709,1
709,2
710,1
710,2
711,1
711,2
712,1
712,2
713,1
713,2
714,1
714,2
715,1
715,2
716,3
717,3
718,3
